rabinkarp_time,rabinkarp_memory,rabinkarp_iterations,kmp_time,kmp_memory,kmp_iterations
1.8300000000026628e-05,144.0,8.0,1.1699999999947863e-05,144.0,11.0
3.109999999995061e-05,144.0,18.0,1.8900000000154904e-05,144.0,24.0
4.3699999999979866e-05,144.0,28.0,2.5699999999906353e-05,144.0,36.0
5.599999999983396e-05,144.0,38.0,4.570000000003738e-05,144.0,48.0
6.879999999997999e-05,208.0,48.0,4.320000000013202e-05,208.0,63.0
8.129999999995086e-05,144.0,58.0,4.849999999989585e-05,144.0,75.0
9.259999999988722e-05,144.0,68.0,5.419999999989322e-05,144.0,85.0
0.00011059999999996073,240.0,78.0,6.169999999983133e-05,240.0,96.0
0.00011619999999989972,144.0,88.0,6.639999999991097e-05,144.0,108.0
0.00013649999999998386,240.0,98.0,7.710000000016315e-05,240.0,123.0
0.00014739999999990872,240.0,108.0,8.42999999999261e-05,240.0,136.0
0.00015699999999996272,208.0,118.0,8.859999999999424e-05,208.0,145.0
0.0002002999999999311,240.0,128.0,9.379999999992172e-05,240.0,153.0
0.00018249999999997435,208.0,138.0,0.00010049999999983683,208.0,166.0
0.00019829999999987358,240.0,148.0,0.00010719999999997398,240.0,178.0
0.00020740000000007974,144.0,158.0,0.00010919999999980945,144.0,187.0
0.00023850000000003035,208.0,168.0,0.00012729999999994135,208.0,212.0
0.00023090000000003386,208.0,178.0,0.00012129999999999086,208.0,208.0
0.00024170000000012237,144.0,188.0,0.0001324000000000325,144.0,226.0
0.00026119999999996146,272.0,198.0,0.00013860000000009975,272.0,234.0
0.00027399999999988545,240.0,208.0,0.00015169999999997685,240.0,255.0
0.0002884999999999138,208.0,218.0,0.00014850000000010688,208.0,254.0
0.0002898000000000067,144.0,228.0,0.00015819999999999723,144.0,273.0
0.00030010000000002535,144.0,238.0,0.00016620000000000523,144.0,282.0
0.00032129999999996883,240.0,248.0,0.0001724000000000725,240.0,295.0
0.00034359999999988844,240.0,258.0,0.00019130000000000535,240.0,321.0
0.0003621999999998682,272.0,268.0,0.00018650000000008937,272.0,317.0
0.0003672999999999593,272.0,278.0,0.00019249999999981782,272.0,327.0
0.00039199999999994795,368.0,288.0,0.00020529999999996384,368.0,344.0
0.0003907000000000771,144.0,298.0,0.00021609999999983032,144.0,361.0
0.0004101999999999162,144.0,308.0,0.00021650000000006386,144.0,371.0
0.00042509999999995607,272.0,318.0,0.00022659999999996572,272.0,381.0
0.00043159999999997645,208.0,328.0,0.00023370000000011437,208.0,391.0
0.0004501999999999562,272.0,338.0,0.00024780000000013125,272.0,414.0
0.0004668999999999368,240.0,348.0,0.00024159999999984194,240.0,410.0
0.0004830000000000112,304.0,358.0,0.00026180000000008974,304.0,435.0
0.0004871999999997989,240.0,368.0,0.000256000000000034,240.0,433.0
0.0005053999999999892,304.0,378.0,0.0002710999999999686,304.0,452.0
0.0005178000000001237,272.0,388.0,0.00027740000000009424,272.0,465.0
0.0005305999999998257,208.0,398.0,0.0002847000000001376,208.0,479.0
0.0005463999999999469,272.0,408.0,0.0002807000000000226,272.0,474.0
0.0005565000000000708,240.0,418.0,0.0003060000000001395,240.0,507.0
0.0005711999999999939,272.0,428.0,0.0003177999999999237,272.0,523.0
0.0006213999999999942,368.0,438.0,0.00032239999999994495,368.0,530.0
0.0006089000000000233,464.0,448.0,0.00032849999999995383,464.0,542.0
0.0006238000000000632,432.0,458.0,0.00031010000000009086,432.0,540.0
0.0006072999999999773,432.0,468.0,0.0003203000000000511,432.0,556.0
0.0006182000000001242,304.0,478.0,0.00033100000000008123,304.0,578.0
0.0006280000000000729,272.0,488.0,0.00032440000000000246,272.0,573.0
0.000640299999999927,272.0,498.0,0.0003433999999999937,272.0,601.0
0.0006570000000001297,272.0,508.0,0.0003421999999999592,272.0,599.0
0.0006706000000000767,432.0,518.0,0.00035309999999988406,432.0,615.0
0.0006753999999999927,368.0,528.0,0.00035319999999994245,368.0,616.0
0.0007002000000000397,464.0,538.0,0.00038650000000006735,464.0,662.0
0.000704299999999991,368.0,548.0,0.0003794999999999771,368.0,658.0
0.0007228999999999708,464.0,558.0,0.0003892000000000895,464.0,673.0
0.0007284000000000734,304.0,568.0,0.00038800000000005497,304.0,677.0
0.0007390000000000452,272.0,578.0,0.0004071000000001046,272.0,705.0
0.0007579000000002001,304.0,588.0,0.0004112999999998923,304.0,715.0
0.0007683999999998914,272.0,598.0,0.0004193999999999587,272.0,731.0
0.0007774000000000392,272.0,608.0,0.0004216999999999693,272.0,730.0
0.0007944999999998092,368.0,618.0,0.0004364000000001145,368.0,749.0
0.0008054999999997925,432.0,628.0,0.0004310000000000702,432.0,747.0
0.0008175999999999739,272.0,638.0,0.0004418999999999951,272.0,770.0
0.0008270999999999695,272.0,648.0,0.0005881000000000913,272.0,749.0
0.00084430000000002,400.0,658.0,0.00044880000000002696,400.0,777.0
0.0008578000000001307,304.0,668.0,0.00045519999999998895,304.0,793.0
0.0010845000000001548,368.0,678.0,0.0004581999999999642,368.0,799.0
0.0008797999999998751,240.0,688.0,0.0004794000000001297,240.0,832.0
0.0008997000000001698,400.0,698.0,0.00048160000000008196,400.0,833.0
0.0009103999999999779,464.0,708.0,0.0004735000000000156,464.0,824.0
0.0009206999999999965,400.0,718.0,0.0004977999999999927,400.0,863.0
0.0009809999999998986,688.0,728.0,0.0005226000000000397,688.0,871.0
0.0009662999999999755,272.0,738.0,0.0005164999999998088,272.0,878.0
0.0009916000000000924,432.0,748.0,0.0005285999999999902,432.0,893.0
