constant_function,sum_function,product_function,naive_function,horner_function,bubblesort_function,quicksort_function,timsort_function,matmul_function,dot_function
1.2999999998708493e-06,2.7400000000454838e-05,9.409999999832053e-05,0.0002545000000000464,6.159999999999499e-05,0.0007528000000001089,2.0799999999931984e-05,1.8100000000131893e-05,6.040000000062663e-05,5.5700000000769016e-05
1.3000000000928935e-06,2.779999999802385e-05,0.00011199999999433885,0.000268799999999958,6.329999999987734e-05,0.0008552000000001669,1.98999999998506e-05,1.809999999990985e-05,6.57999999997827e-05,6.310000000020466e-05
1.3000000000928935e-06,2.8699999994330483e-05,0.0001026000000052818,0.0002820000000001155,6.500000000020378e-05,0.0009352999999998614,2.029999999986209e-05,1.7900000000015126e-05,7.349999999917145e-05,6.760000000127775e-05
1.2999999998708493e-06,3.0000000002416982e-05,9.190000000103282e-05,0.0002889999999999837,6.689999999998086e-05,0.000999500000000042,2.0399999999920482e-05,1.8900000000154904e-05,8.150000000028967e-05,7.639999999931035e-05
1.4000000001512802e-06,3.0000000002416982e-05,0.00010489999999663269,0.0003076999999997998,6.829999999991011e-05,0.0010656999999998362,2.0099999999967366e-05,1.7900000000015126e-05,0.00010029999999972006,8.340000000117698e-05
1.3999999999292356e-06,3.369999999591755e-05,4.7299999998529074e-05,0.00031239999999987944,7.029999999996761e-05,0.0011379999999998613,2.450000000009389e-05,1.8999999999991246e-05,0.0001050999999989699,9.030000000009865e-05
1.3999999999292356e-06,3.249999999610509e-05,0.00012250000000335604,0.00032649999999989626,7.249999999991985e-05,0.0012372999999998855,3.100000000011427e-05,1.8600000000201792e-05,0.00010919999999892127,9.719999999902028e-05
1.3000000000928935e-06,6.049999999646616e-05,0.00013090000000204327,0.0003412000000000415,7.500000000004725e-05,0.0013110999999998985,2.1900000000130152e-05,1.8599999999979744e-05,0.00013419999999975118,0.00010820000000144604
1.3999999999292356e-06,3.440000000409782e-05,4.2200000002878824e-05,0.0003436999999999468,7.540000000005875e-05,0.0014448000000000238,2.0600000000037245e-05,1.8899999999932863e-05,0.00013129999999961228,0.00011480000000041456
1.3999999999292356e-06,3.560000000391028e-05,0.00012819999999891252,0.0003708000000000045,8.049999999992784e-05,0.00145660000000003,2.099999999982672e-05,1.7900000000015126e-05,0.00014830000000110033,0.00012620000000040932
1.4000000001512802e-06,3.530000000040445e-05,0.00010840000000200689,0.00037210000000009735,7.909999999999862e-05,0.0016256999999999526,2.289999999982584e-05,1.8599999999979744e-05,0.0001613000000002529,0.0001341000000003589
1.2999999998708493e-06,3.7100000000123146e-05,0.0001752000000010412,0.00038369999999998683,8.400000000019503e-05,0.0017199000000001075,1.959999999989748e-05,1.8300000000026625e-05,0.00017280000000141632,0.00014819999999993172
1.1999999998124622e-06,3.7900000002366596e-05,0.00013249999999942474,0.00039410000000006384,8.610000000008888e-05,0.0018183999999998868,2.4199999999918728e-05,1.8599999999979744e-05,0.00020320000000140226,0.0001571000000009093
1.4999999999876226e-06,3.839999999399879e-05,0.00015390000000081727,0.0004024999999998613,8.880000000011101e-05,0.0019354999999998679,2.1999999999966487e-05,1.9099999999827588e-05,0.00020609999999976483,0.00017280000000141632
1.7000000001043958e-06,3.959999999381125e-05,0.0001546000000018921,0.00042340000000007366,9.079999999994648e-05,0.0020157000000000647,2.0799999999931984e-05,1.819999999996824e-05,0.00022410000000050445,0.00018170000000061748
